descripcion,categoria
"El coche requiere cambio de aceite, pero aún aire acondicionado ruidoso. También pequeños rayones.",neutral
"Tiene luces traseras sucias y mantenimiento irregular, aunque puertas algo duras.",neutral
"Tiene interior con algo de desgaste y pequeños rayones, aunque mantenimiento irregular.",neutral
"Aunque pequeños rayones y requiere cambio de aceite, todavía motor hace un leve ruido.",neutral
"Tiene luces traseras sucias y mantenimiento irregular, aunque llanta ligeramente desgastada.",neutral
"El coche aire acondicionado ruidoso, pero aún interior con algo de desgaste. También motor hace un leve ruido.",neutral
"Tiene mantenimiento irregular y motor hace un leve ruido, aunque luces traseras sucias.",neutral
"El coche interior con algo de desgaste, pero aún aire acondicionado ruidoso. También pequeños rayones.",neutral
"El coche mantenimiento irregular, pero aún interior con algo de desgaste. También pequeños rayones.",neutral
"Está en excelente estado: sin ruidos extraños, motor suave y neumáticos nuevos.",bueno
"Está en excelente estado: aire acondicionado funcional, cristales impecables y neumáticos nuevos.",bueno
"Todo funciona correctamente, incluyendo motor suave, carrocería sin abolladuras, y interior limpio.",bueno
"Todo funciona correctamente, incluyendo luces completamente operativas, aire acondicionado funcional, y interior limpio.",bueno
"El vehículo frenos en excelente estado y aire acondicionado funcional, además sin ruidos extraños.",bueno
"Está en excelente estado: interior limpio, frenos en excelente estado y pintura impecable.",bueno
"El vehículo interior limpio y carrocería sin abolladuras, además luces completamente operativas.",bueno
"El vehículo interior limpio y funciona perfectamente, además neumáticos nuevos.",bueno
"Todo funciona correctamente, incluyendo carrocería sin abolladuras, cristales impecables, y frenos en excelente estado.",bueno
"Todo funciona correctamente, incluyendo aire acondicionado funcional, sin ruidos extraños, y motor suave.",bueno
"El vehículo mantenimiento reciente y luces completamente operativas, además carrocería sin abolladuras.",bueno
"Todo funciona correctamente, incluyendo aire acondicionado funcional, motor suave, y carrocería sin abolladuras.",bueno
"El vehículo frenos en excelente estado y carrocería sin abolladuras, además sin ruidos extraños.",bueno
"El vehículo aire acondicionado funcional y funciona perfectamente, además luces completamente operativas.",bueno
"El vehículo funciona perfectamente y aire acondicionado funcional, además luces completamente operativas.",bueno
"El vehículo sin ruidos extraños y funciona perfectamente, además mantenimiento reciente.",bueno
"Todo funciona correctamente, incluyendo frenos en excelente estado, luces completamente operativas, y neumáticos nuevos.",bueno
"El vehículo carrocería sin abolladuras y neumáticos nuevos, además pintura impecable.",bueno
"Todo funciona correctamente, incluyendo motor suave, sin ruidos extraños, y pintura impecable.",bueno
"Todo funciona correctamente, incluyendo sin ruidos extraños, pintura impecable, y cristales impecables.",bueno
"Está en excelente estado: luces completamente operativas, funciona perfectamente y frenos en excelente estado.",bueno
"Está en excelente estado: carrocería sin abolladuras, sin ruidos extraños y luces completamente operativas.",bueno
"Todo funciona correctamente, incluyendo luces completamente operativas, pintura impecable, y aire acondicionado funcional.",bueno
"Está en excelente estado: aire acondicionado funcional, motor suave y pintura impecable.",bueno
"El vehículo carrocería sin abolladuras y motor suave, además funciona perfectamente.",bueno
"Todo funciona correctamente, incluyendo carrocería sin abolladuras, mantenimiento reciente, y cristales impecables.",bueno
"El vehículo mantenimiento reciente y interior limpio, además funciona perfectamente.",bueno
"Está en excelente estado: interior limpio, sin ruidos extraños y mantenimiento reciente.",bueno
"Está en excelente estado: motor suave, luces completamente operativas y interior limpio.",bueno
"Todo funciona correctamente, incluyendo frenos en excelente estado, carrocería sin abolladuras, y aire acondicionado funcional.",bueno
"Está en excelente estado: sin ruidos extraños, neumáticos nuevos y frenos en excelente estado.",bueno
"Todo funciona correctamente, incluyendo pintura impecable, frenos en excelente estado, y sin ruidos extraños.",bueno
"Está en excelente estado: cristales impecables, carrocería sin abolladuras y aire acondicionado funcional.",bueno
"Todo funciona correctamente, incluyendo pintura impecable, luces completamente operativas, y mantenimiento reciente.",bueno
"Todo funciona correctamente, incluyendo motor suave, mantenimiento reciente, y cristales impecables.",bueno
"El vehículo frenos en excelente estado y pintura impecable, además interior limpio.",bueno
"Todo funciona correctamente, incluyendo mantenimiento reciente, luces completamente operativas, y frenos en excelente estado.",bueno
"El vehículo pintura impecable y neumáticos nuevos, además funciona perfectamente.",bueno
"Está en excelente estado: luces completamente operativas, carrocería sin abolladuras y funciona perfectamente.",bueno
"Todo funciona correctamente, incluyendo interior limpio, mantenimiento reciente, y funciona perfectamente.",bueno
"Está en excelente estado: aire acondicionado funcional, pintura impecable y funciona perfectamente.",bueno
"Todo funciona correctamente, incluyendo aire acondicionado funcional, frenos en excelente estado, y sin ruidos extraños.",bueno
"El vehículo interior limpio y pintura impecable, además frenos en excelente estado.",bueno
"El vehículo interior limpio y aire acondicionado funcional, además frenos en excelente estado.",bueno
"El vehículo frenos en excelente estado y pintura impecable, además mantenimiento reciente.",bueno
"El vehículo luces completamente operativas y frenos en excelente estado, además neumáticos nuevos.",bueno
"El vehículo aire acondicionado funcional y carrocería sin abolladuras, además neumáticos nuevos.",bueno
"Todo funciona correctamente, incluyendo motor suave, mantenimiento reciente, y funciona perfectamente.",bueno
"El vehículo pintura impecable y motor suave, además luces completamente operativas.",bueno
"Está en excelente estado: neumáticos nuevos, frenos en excelente estado y mantenimiento reciente.",bueno
"Todo funciona correctamente, incluyendo sin ruidos extraños, interior limpio, y funciona perfectamente.",bueno
"Todo funciona correctamente, incluyendo interior limpio, neumáticos nuevos, y aire acondicionado funcional.",bueno
"El vehículo mantenimiento reciente y pintura impecable, además aire acondicionado funcional.",bueno
"Todo funciona correctamente, incluyendo motor suave, sin ruidos extraños, y neumáticos nuevos.",bueno
"Todo funciona correctamente, incluyendo motor suave, cristales impecables, y sin ruidos extraños.",bueno
"El vehículo carrocería sin abolladuras y cristales impecables, además aire acondicionado funcional.",bueno
"Está en excelente estado: mantenimiento reciente, funciona perfectamente y neumáticos nuevos.",bueno
"Todo funciona correctamente, incluyendo frenos en excelente estado, mantenimiento reciente, y interior limpio.",bueno
"Todo funciona correctamente, incluyendo mantenimiento reciente, luces completamente operativas, y interior limpio.",bueno
"Está en excelente estado: carrocería sin abolladuras, interior limpio y aire acondicionado funcional.",bueno
"Todo funciona correctamente, incluyendo neumáticos nuevos, aire acondicionado funcional, y mantenimiento reciente.",bueno
"Todo funciona correctamente, incluyendo cristales impecables, pintura impecable, y luces completamente operativas.",bueno
"Está en excelente estado: interior limpio, mantenimiento reciente y pintura impecable.",bueno
"El vehículo mantenimiento reciente y pintura impecable, además luces completamente operativas.",bueno
"El vehículo motor suave y neumáticos nuevos, además mantenimiento reciente.",bueno
"El vehículo pintura impecable y carrocería sin abolladuras, además sin ruidos extraños.",bueno
"Todo funciona correctamente, incluyendo mantenimiento reciente, luces completamente operativas, y sin ruidos extraños.",bueno
"Está en excelente estado: funciona perfectamente, interior limpio y pintura impecable.",bueno
"El vehículo mantenimiento reciente y neumáticos nuevos, además sin ruidos extraños.",bueno
"Está en excelente estado: interior limpio, aire acondicionado funcional y funciona perfectamente.",bueno
"El vehículo funciona perfectamente y neumáticos nuevos, además cristales impecables.",bueno
"El vehículo motor suave y interior limpio, además luces completamente operativas.",bueno
"Todo funciona correctamente, incluyendo neumáticos nuevos, aire acondicionado funcional, y cristales impecables.",bueno
"Todo funciona correctamente, incluyendo funciona perfectamente, interior limpio, y neumáticos nuevos.",bueno
"Está en excelente estado: cristales impecables, frenos en excelente estado y motor suave.",bueno
"El vehículo sin ruidos extraños y neumáticos nuevos, además motor suave.",bueno
"Todo funciona correctamente, incluyendo luces completamente operativas, motor suave, y mantenimiento reciente.",bueno
"Está en excelente estado: funciona perfectamente, aire acondicionado funcional y mantenimiento reciente.",bueno
"Todo funciona correctamente, incluyendo cristales impecables, neumáticos nuevos, y aire acondicionado funcional.",bueno
"Todo funciona correctamente, incluyendo frenos en excelente estado, mantenimiento reciente, y carrocería sin abolladuras.",bueno
"Todo funciona correctamente, incluyendo luces completamente operativas, motor suave, y pintura impecable.",bueno
"Todo funciona correctamente, incluyendo cristales impecables, frenos en excelente estado, y mantenimiento reciente.",bueno
"El vehículo mantenimiento reciente y aire acondicionado funcional, además neumáticos nuevos.",bueno
"Todo funciona correctamente, incluyendo pintura impecable, cristales impecables, y frenos en excelente estado.",bueno
"Todo funciona correctamente, incluyendo motor suave, frenos en excelente estado, y neumáticos nuevos.",bueno
"Está en excelente estado: mantenimiento reciente, luces completamente operativas y funciona perfectamente.",bueno
"El vehículo frenos en excelente estado y mantenimiento reciente, además funciona perfectamente.",bueno
"El vehículo cristales impecables y neumáticos nuevos, además interior limpio.",bueno
"Todo funciona correctamente, incluyendo mantenimiento reciente, sin ruidos extraños, y luces completamente operativas.",bueno
"El vehículo interior limpio y neumáticos nuevos, además cristales impecables.",bueno
"El vehículo frenos en excelente estado y neumáticos nuevos, además luces completamente operativas.",bueno
"El vehículo funciona perfectamente y carrocería sin abolladuras, además mantenimiento reciente.",bueno
"El vehículo interior limpio y motor suave, además pintura impecable.",bueno
"Está en excelente estado: sin ruidos extraños, carrocería sin abolladuras y aire acondicionado funcional.",bueno
"El vehículo frenos en excelente estado y funciona perfectamente, además motor suave.",bueno
"Está en excelente estado: mantenimiento reciente, frenos en excelente estado y funciona perfectamente.",bueno
"El vehículo neumáticos nuevos y luces completamente operativas, además carrocería sin abolladuras.",bueno
"Está en excelente estado: aire acondicionado funcional, cristales impecables y interior limpio.",bueno
"El vehículo pintura impecable y motor suave, además neumáticos nuevos.",bueno
"Tiene pequeños rayones y aire acondicionado ruidoso, aunque llanta ligeramente desgastada.",neutral
"El coche aire acondicionado ruidoso, pero aún pequeños rayones. También llanta ligeramente desgastada.",neutral
"Tiene ventanas con rayones y requiere cambio de aceite, aunque luces traseras sucias.",neutral
"Presenta parabrisas roto y luces delanteras inoperativas, con signos de que también fuga de aceite.",malo
"Está en mal estado general: motor con fallas, puertas que no cierran, y luces delanteras inoperativas.",malo
"El vehículo interior limpio y aire acondicionado funcional, además mantenimiento reciente.",bueno
"Todo funciona correctamente, incluyendo frenos en excelente estado, interior limpio, y cristales impecables.",bueno
"Está en excelente estado: interior limpio, frenos en excelente estado y funciona perfectamente.",bueno
"El vehículo interior limpio y pintura impecable, además sin ruidos extraños.",bueno
"Está en excelente estado: luces completamente operativas, cristales impecables y sin ruidos extraños.",bueno
"Está en excelente estado: interior limpio, pintura impecable y frenos en excelente estado.",bueno
"Está en excelente estado: frenos en excelente estado, neumáticos nuevos y pintura impecable.",bueno
"El vehículo frenos en excelente estado y motor suave, además cristales impecables.",bueno
"El vehículo frenos en excelente estado y carrocería sin abolladuras, además interior limpio.",bueno
"El vehículo pintura impecable y luces completamente operativas, además frenos en excelente estado.",bueno
"Aunque llanta ligeramente desgastada y aire acondicionado ruidoso, todavía motor hace un leve ruido.",neutral
"El coche mantenimiento irregular, pero aún requiere cambio de aceite. También interior con algo de desgaste.",neutral
"Aunque aire acondicionado ruidoso y luces traseras sucias, todavía mantenimiento irregular.",neutral
"Aunque motor hace un leve ruido y pequeños rayones, todavía puertas algo duras.",neutral
"Tiene requiere cambio de aceite y mantenimiento irregular, aunque pequeños rayones.",neutral
"Está en mal estado general: presenta óxido, motor con fallas, y neumáticos lisos.",malo
"Presenta escape roto y puertas que no cierran, con signos de que también neumáticos lisos.",malo
"Está en mal estado general: presenta óxido, parabrisas roto, y frenos desgastados.",malo
"Presenta presenta óxido y frenos desgastados, con signos de que también parabrisas roto.",malo
"Todo funciona correctamente, incluyendo cristales impecables, pintura impecable, y carrocería sin abolladuras.",bueno
"El vehículo funciona perfectamente y neumáticos nuevos, además interior limpio.",bueno
"El vehículo presenta óxido, además parabrisas roto y frenos desgastados.",malo
"Presenta luces delanteras inoperativas y frenos desgastados, con signos de que también escape roto.",malo
"Presenta escape roto y presenta óxido, con signos de que también neumáticos lisos.",malo
"Presenta neumáticos lisos y puertas que no cierran, con signos de que también parabrisas roto.",malo
"Presenta luces delanteras inoperativas y parabrisas roto, con signos de que también fuga de aceite.",malo
"El vehículo frenos desgastados, además motor con fallas y puertas que no cierran.",malo
"Presenta puertas que no cierran y frenos desgastados, con signos de que también batería descargada.",malo
"Presenta parabrisas roto y puertas que no cierran, con signos de que también fuga de aceite.",malo
"Está en mal estado general: frenos desgastados, batería descargada, y escape roto.",malo
"Presenta puertas que no cierran y luces delanteras inoperativas, con signos de que también no arranca.",malo
"Presenta no arranca y escape roto, con signos de que también luces delanteras inoperativas.",malo
"El vehículo no arranca, además motor con fallas y ruido excesivo.",malo
"El vehículo pintura impecable y funciona perfectamente, además luces completamente operativas.",bueno
"Todo funciona correctamente, incluyendo frenos en excelente estado, cristales impecables, y aire acondicionado funcional.",bueno
"Está en excelente estado: carrocería sin abolladuras, luces completamente operativas y sin ruidos extraños.",bueno
"Está en excelente estado: aire acondicionado funcional, luces completamente operativas y cristales impecables.",bueno
"El vehículo carrocería sin abolladuras y funciona perfectamente, además pintura impecable.",bueno
"El vehículo funciona perfectamente y frenos en excelente estado, además aire acondicionado funcional.",bueno
"Todo funciona correctamente, incluyendo aire acondicionado funcional, cristales impecables, y neumáticos nuevos.",bueno
"Todo funciona correctamente, incluyendo funciona perfectamente, luces completamente operativas, y aire acondicionado funcional.",bueno
"Todo funciona correctamente, incluyendo frenos en excelente estado, luces completamente operativas, y carrocería sin abolladuras.",bueno
"Todo funciona correctamente, incluyendo interior limpio, sin ruidos extraños, y cristales impecables.",bueno
"Está en excelente estado: interior limpio, carrocería sin abolladuras y funciona perfectamente.",bueno
"Está en excelente estado: funciona perfectamente, sin ruidos extraños y interior limpio.",bueno
"El vehículo mantenimiento reciente y funciona perfectamente, además carrocería sin abolladuras.",bueno
"Todo funciona correctamente, incluyendo cristales impecables, mantenimiento reciente, y luces completamente operativas.",bueno
"Está en excelente estado: motor suave, funciona perfectamente y mantenimiento reciente.",bueno
